Feature ID	Taxon	Confidence
ce72009c0c36b5ff547b9a0c89f669ce	d__Bacteria; p__Firmicutes; c__Bacilli; o__RF39; f__RF39; g__RF39; s__uncultured_prokaryote	0.7855030308703853
b2097d12843899152a99e4faeb92e3e6	d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__Phocea; s__Anaerotruncus_sp.	0.7389528693089759
97cedb38639c436b01657f69a87fc45b	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae	0.9995782678526426
d85f7c80c1ad16d5903ce9d78ade5916	d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae	0.8294662764213896
c5aad5ebe154556c8422b669638c0745	d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae; g__uncultured; s__Clostridiales_bacterium	0.7044895380107316
cc82a5a0b284dea47583c8afa5a99755	d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae; g__Intestinimonas; s__uncultured_Clostridiales	0.796538029640812
e3811dd729c742150d8c1c5f6e40c5a9	d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae	0.9955393696560304
a40989ab021cea8e78077a6ad97eb5ff	d__Bacteria; p__Firmicutes; c__Bacilli; o__RF39; f__RF39; g__RF39; s__unidentified	0.999976709824387
682dde043b6d08cf20021dc1e423446d	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Lachnospiraceae_UCG-006; s__Clostridium_sp.	0.9847193690092436
914cd932c40f857f5730b165792e560d	d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales	0.9996841986912552
86555947ddfc576c1bb9c42deb3998df	d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae; g__Oscillibacter	0.9642023923026066
f9f60c2b7142924f5bf6369037234212	d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae; g__uncultured; s__Clostridiales_bacterium	0.9523760261638627
